time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
129,129,arrival,2,8,1,idle
130,130,departure,4,6,0,working
131,131,departure,3,2,0,working
132,132,arrival,0,1,0,idle
133,133,arrival,1,7,0,idle
134,134,arrival,3,2,0,working
135,135,departure,2,2,1,idle
136,136,departure,3,7,0,idle
137,137,departure,4,8,1,idle
138,138,arrival,0,0,1,idle
139,139,departure,4,8,1,idle
140,140,arrival,1,0,0,working
141,141,departure,2,1,0,idle
142,142,departure,4,4,0,working
143,143,departure,4,6,1,idle
144,144,departure,0,1,1,working
145,145,arrival,0,2,0,idle
146,146,departure,2,7,0,idle
147,147,departure,1,8,0,working
148,148,arrival,4,3,1,working
149,149,departure,3,8,0,idle
150,150,arrival,3,5,0,idle
151,151,departure,0,6,1,idle
152,152,departure,4,4,1,idle
153,153,arrival,0,9,1,idle
154,154,arrival,4,5,1,working
155,155,arrival,1,6,0,idle
156,156,departure,3,5,1,working
157,157,departure,2,7,0,working
158,158,departure,0,2,0,idle
159,159,arrival,3,8,0,idle
160,160,arrival,1,0,1,idle
161,161,departure,4,1,1,idle
162,162,departure,1,1,1,working
163,163,arrival,3,8,0,idle
164,164,departure,4,6,0,working
165,165,departure,1,7,1,idle
166,166,departure,4,4,1,working
167,167,departure,1,9,1,idle
168,168,departure,0,0,0,working
169,169,departure,0,9,0,idle
170,170,departure,1,9,0,idle
171,171,arrival,2,3,1,idle
172,172,arrival,2,9,0,idle
173,173,departure,2,4,1,working
174,174,departure,3,9,0,idle
175,175,departure,3,1,0,idle
176,176,departure,0,7,0,working
177,177,arrival,4,8,0,working
178,178,departure,3,5,1,idle
179,179,arrival,4,3,1,working
180,180,arrival,0,3,0,working
181,181,arrival,0,3,1,working
182,182,departure,1,8,1,idle
183,183,departure,4,1,0,working
184,184,arrival,4,5,0,idle
185,185,departure,4,2,1,working
186,186,departure,3,3,0,working
187,187,arrival,3,9,1,working
188,188,departure,4,2,1,idle
189,189,arrival,3,9,0,working
190,190,departure,1,6,1,idle
191,191,departure,0,5,1,working
192,192,arrival,3,1,0,idle
193,193,departure,4,5,1,idle
194,194,departure,3,3,0,idle
195,195,arrival,1,0,0,idle
196,196,departure,4,9,1,working
197,197,departure,3,8,1,working
198,198,departure,2,5,0,idle
199,199,departure,0,5,1,idle
200,200,arrival,1,0,0,idle
201,201,arrival,1,1,1,idle
202,202,arrival,0,3,1,idle
203,203,departure,3,3,0,idle
204,204,arrival,1,6,1,idle
205,205,arrival,3,1,0,working
206,206,arrival,3,5,0,idle
207,207,arrival,3,7,1,idle
208,208,departure,1,7,1,working
209,209,departure,1,5,1,idle
210,210,departure,0,1,1,idle
211,211,departure,2,8,0,working
212,212,departure,0,8,1,working
213,213,departure,0,4,1,idle
214,214,arrival,0,1,1,working
215,215,departure,4,9,1,working
216,216,departure,3,3,0,working
217,217,departure,4,5,0,idle
218,218,departure,0,9,1,idle
219,219,arrival,4,2,0,idle
220,220,departure,1,0,1,idle
221,221,arrival,1,7,0,idle
222,222,departure,2,7,0,idle
223,223,departure,0,8,0,working
224,224,departure,0,7,0,idle
225,225,arrival,3,9,1,working
226,226,arrival,2,1,0,working
227,227,arrival,4,7,0,working
228,228,arrival,2,1,1,working
229,229,arrival,3,5,0,working
230,230,arrival,1,5,0,working
231,231,arrival,4,9,1,working
232,232,departure,0,8,0,idle
233,233,arrival,0,6,0,working
234,234,departure,3,4,0,idle
235,235,arrival,0,5,1,idle
236,236,arrival,0,6,0,working
237,237,departure,2,3,0,idle
238,238,arrival,3,5,1,idle
239,239,departure,0,2,0,working
240,240,arrival,3,2,1,idle
241,241,arrival,4,4,0,idle
242,242,departure,3,0,1,working
243,243,arrival,2,9,0,working
244,244,departure,1,9,1,idle
245,245,arrival,3,1,1,working
246,246,arrival,3,6,0,idle
247,247,arrival,1,1,0,idle
248,248,departure,3,3,1,idle
249,249,departure,0,4,1,working
250,250,arrival,3,0,0,working
251,251,arrival,3,8,1,idle
252,252,departure,3,5,0,idle
253,253,departure,1,8,0,idle
254,254,arrival,2,1,1,working
255,255,departure,1,4,1,idle
256,256,arrival,0,5,1,working
257,257,departure,0,0,1,working
258,258,arrival,1,5,1,idle
259,259,departure,2,7,0,idle
260,260,departure,2,3,1,idle
261,261,departure,3,0,0,working
262,262,arrival,2,7,0,working
263,263,arrival,0,9,0,working
264,264,departure,2,8,1,idle
265,265,arrival,4,8,1,idle
266,266,departure,0,6,0,working
267,267,departure,1,3,1,idle
268,268,departure,3,7,1,working
269,269,arrival,4,7,0,idle
270,270,departure,0,5,0,idle
271,271,arrival,0,5,1,idle
272,272,departure,4,7,1,working
273,273,departure,1,3,0,idle
274,274,arrival,2,9,1,working
275,275,departure,0,0,0,working
276,276,departure,4,7,1,working
277,277,departure,1,9,1,working
278,278,departure,3,6,0,working
279,279,arrival,1,2,1,idle
280,280,departure,1,6,1,working
281,281,arrival,2,0,1,working
282,282,departure,0,0,0,idle
283,283,arrival,3,3,0,working
284,284,departure,3,2,0,working
285,285,departure,0,3,0,idle
286,286,arrival,4,3,1,idle
287,287,arrival,2,1,1,idle
288,288,departure,2,9,0,idle
289,289,arrival,2,5,0,working
290,290,departure,1,5,1,idle
291,291,arrival,3,7,1,idle
292,292,arrival,3,4,1,working
293,293,arrival,1,1,0,working
294,294,departure,0,5,0,working
295,295,arrival,2,8,1,idle
296,296,departure,3,6,0,idle
297,297,departure,2,3,0,working
298,298,departure,0,6,1,working
299,299,departure,3,4,1,idle
300,300,departure,3,9,1,working
301,301,arrival,1,3,1,idle
302,302,arrival,2,9,0,working
303,303,departure,1,5,0,working
304,304,arrival,1,2,0,working
305,305,arrival,2,1,0,idle
306,306,arrival,2,0,1,idle
307,307,arrival,2,3,0,idle
308,308,arrival,0,8,1,idle
309,309,arrival,0,5,1,idle
310,310,departure,3,8,0,idle
311,311,arrival,2,0,1,idle
312,312,departure,1,8,1,working
313,313,arrival,1,9,1,idle
314,314,arrival,4,4,0,idle
315,315,arrival,0,9,1,working
316,316,departure,0,3,1,working
317,317,departure,2,0,0,working
318,318,departure,2,5,1,idle
319,319,departure,4,9,0,idle
320,320,departure,4,0,1,idle
321,321,arrival,4,9,0,idle
322,322,arrival,1,8,0,idle
323,323,departure,4,9,1,working
324,324,departure,0,5,1,working
325,325,departure,4,9,0,idle
326,326,arrival,0,2,1,idle
327,327,arrival,3,6,1,working
328,328,departure,4,9,0,working
329,329,departure,1,7,1,working
330,330,arrival,3,6,1,idle
331,331,departure,4,6,1,idle
332,332,arrival,1,2,0,working
333,333,arrival,0,2,1,working
334,334,departure,4,3,1,idle
335,335,arrival,0,2,1,idle
336,336,arrival,3,4,0,idle
337,337,arrival,1,2,1,working
338,338,departure,4,0,0,working
339,339,departure,0,6,0,working
340,340,arrival,4,2,0,working
341,341,departure,2,1,1,working
342,342,departure,0,4,1,working
343,343,arrival,4,2,0,idle
344,344,arrival,1,8,0,idle
345,345,arrival,2,0,0,idle
346,346,departure,1,3,1,working
347,347,arrival,0,7,1,idle
348,348,departure,4,7,1,idle
349,349,departure,3,9,0,idle
350,350,departure,4,1,1,idle
351,351,arrival,0,7,1,working
352,352,arrival,3,2,1,idle
353,353,arrival,0,8,1,working
354,354,arrival,1,6,1,idle
355,355,departure,1,8,0,idle
356,356,departure,0,4,1,working
357,357,departure,2,4,0,idle
358,358,arrival,3,0,0,idle
359,359,arrival,0,1,0,working
360,360,departure,1,4,1,working
361,361,arrival,3,6,0,working
362,362,departure,0,4,0,working
363,363,departure,2,7,0,idle
364,364,arrival,3,6,1,working
365,365,departure,3,9,1,working
366,366,arrival,3,3,0,working
367,367,arrival,0,9,1,idle
368,368,departure,3,8,0,idle
369,369,departure,4,5,0,working
370,370,departure,1,2,1,idle
371,371,departure,0,3,1,idle
372,372,arrival,3,7,0,idle
373,373,arrival,0,2,0,working
374,374,departure,0,5,0,idle
375,375,arrival,0,9,0,idle
376,376,arrival,3,1,1,working
377,377,departure,2,6,1,idle
378,378,departure,1,3,1,idle
379,379,arrival,1,0,1,working
380,380,arrival,4,8,0,idle
381,381,departure,0,7,1,idle
382,382,departure,3,8,1,idle
383,383,arrival,3,4,1,working
384,384,departure,1,5,1,idle
385,385,arrival,2,8,1,idle
386,386,departure,3,3,1,working
387,387,departure,0,8,0,working
388,388,departure,1,8,1,idle
389,389,departure,4,7,0,idle
390,390,departure,4,1,1,working
391,391,departure,2,5,0,idle
392,392,departure,1,0,1,idle
393,393,departure,4,2,1,idle
394,394,arrival,3,0,1,working
395,395,arrival,4,1,1,working
396,396,arrival,2,8,0,idle
397,397,departure,4,8,0,working
398,398,arrival,4,2,1,idle
399,399,departure,1,2,0,working
400,400,arrival,1,9,0,idle
401,401,departure,2,0,0,idle
402,402,departure,1,7,0,idle
403,403,arrival,2,4,1,working
404,404,departure,1,9,1,working
405,405,departure,4,1,0,idle
406,406,arrival,3,0,1,working
407,407,departure,0,7,1,working
408,408,departure,3,6,1,idle
409,409,departure,3,6,1,idle
410,410,arrival,4,9,1,idle
411,411,departure,4,5,1,working
412,412,departure,4,8,0,idle
413,413,departure,2,0,0,idle
414,414,arrival,2,9,1,working
415,415,departure,2,3,0,idle
416,416,arrival,0,0,0,working
417,417,arrival,3,1,1,idle
418,418,departure,4,9,1,working
419,419,arrival,3,7,1,working
420,420,departure,1,0,1,idle
421,421,departure,2,9,1,working
422,422,departure,2,2,1,working
423,423,departure,3,2,0,working
424,424,arrival,2,0,1,idle
425,425,departure,0,1,1,working
426,426,departure,2,6,0,working
427,427,arrival,3,4,0,working
428,428,departure,1,7,1,working
429,429,departure,3,0,1,idle
430,430,departure,3,9,0,idle
431,431,arrival,1,3,0,idle
432,432,arrival,4,0,1,idle
433,433,arrival,0,0,0,idle
434,434,departure,3,2,0,idle
435,435,arrival,2,2,0,idle
436,436,departure,4,6,0,working
437,437,arrival,4,9,0,working
438,438,arrival,4,5,0,working
439,439,departure,4,3,1,working
440,440,departure,4,0,0,working
441,441,departure,4,9,0,working
442,442,arrival,4,0,0,idle
443,443,arrival,1,8,1,working
444,444,departure,3,2,1,working
445,445,arrival,3,2,0,working
446,446,arrival,2,3,1,working
447,447,departure,2,6,0,idle
448,448,departure,2,8,0,idle
449,449,departure,1,9,0,idle
450,450,arrival,0,4,0,idle
451,451,departure,1,2,0,working
452,452,departure,3,0,0,working
453,453,arrival,3,7,0,idle
454,454,departure,2,2,1,working
455,455,arrival,0,2,0,working
456,456,departure,3,5,1,idle
457,457,departure,1,4,0,idle
458,458,departure,3,7,1,idle
459,459,arrival,0,1,1,working
460,460,departure,2,1,1,working
461,461,arrival,1,4,1,working
462,462,departure,1,0,0,working
463,463,departure,3,9,1,idle
464,464,arrival,2,1,1,working
465,465,arrival,1,2,0,idle
466,466,arrival,0,3,0,idle
467,467,arrival,2,9,1,idle
468,468,departure,3,3,0,working
469,469,departure,1,6,0,idle
470,470,departure,3,0,0,working
471,471,departure,3,2,1,idle
472,472,arrival,1,7,1,idle
473,473,departure,3,2,0,working
474,474,arrival,0,5,0,working
475,475,departure,2,8,1,idle
476,476,arrival,0,4,1,working
477,477,departure,1,9,1,idle
478,478,departure,0,9,0,idle
479,479,departure,1,8,1,idle
480,480,departure,4,7,1,working
481,481,arrival,1,7,0,working
482,482,arrival,4,3,0,working
483,483,arrival,0,8,0,idle
484,484,arrival,4,4,0,idle
485,485,departure,2,5,1,working
486,486,departure,2,2,0,idle
487,487,arrival,1,0,0,idle
488,488,arrival,4,9,0,idle
489,489,arrival,2,4,1,working
490,490,departure,3,5,0,idle
491,491,departure,0,8,1,idle
492,492,arrival,3,5,0,working
493,493,departure,3,9,0,working
494,494,arrival,3,8,0,idle
495,495,arrival,4,6,1,working
496,496,arrival,1,9,1,idle
497,497,departure,4,6,1,working
498,498,departure,1,8,1,idle
499,499,departure,3,4,0,idle
500,500,departure,3,6,0,idle
501,501,arrival,2,3,1,working
502,502,departure,2,7,1,working
503,503,departure,1,0,1,idle
504,504,departure,4,0,0,idle
505,505,departure,2,2,1,idle
506,506,departure,2,6,1,working
507,507,departure,4,9,0,working
508,508,departure,4,4,1,working
509,509,departure,2,7,0,idle
510,510,departure,4,9,1,working
511,511,arrival,1,8,1,working
512,512,arrival,0,3,0,idle
513,513,departure,0,1,0,working
514,514,arrival,1,9,0,working
515,515,arrival,4,6,0,working
516,516,arrival,2,0,1,working
517,517,departure,0,8,1,idle
518,518,arrival,2,7,1,working
519,519,arrival,4,4,1,working
520,520,arrival,0,7,1,working
521,521,arrival,0,3,1,working
522,522,arrival,2,0,1,working
523,523,departure,3,8,0,working
524,524,arrival,0,3,1,idle
525,525,arrival,2,1,0,working
526,526,arrival,3,0,1,working
527,527,departure,4,0,0,working
528,528,departure,2,8,1,idle
529,529,departure,4,6,1,idle
530,530,arrival,2,2,0,idle
531,531,departure,0,4,0,idle
532,532,arrival,2,6,1,working
533,533,arrival,0,1,0,idle
534,534,departure,1,4,1,working
535,535,departure,2,2,0,working
536,536,departure,2,8,0,working
537,537,departure,2,4,0,working
538,538,departure,2,8,0,idle
539,539,arrival,4,8,1,working
540,540,departure,4,1,1,working
541,541,departure,3,7,1,working
542,542,departure,2,6,0,idle
543,543,departure,1,0,0,working
544,544,departure,2,1,1,working
545,545,departure,0,6,1,idle
546,546,arrival,2,5,1,idle
547,547,arrival,0,6,0,idle
548,548,arrival,1,5,0,working
549,549,departure,2,2,1,idle
550,550,arrival,1,2,1,idle
551,551,arrival,2,9,0,working
552,552,arrival,4,7,0,working
553,553,arrival,4,1,0,working
554,554,arrival,1,1,0,working
555,555,departure,3,2,1,idle
556,556,departure,0,0,1,idle
557,557,departure,4,3,0,idle
558,558,arrival,1,8,0,working
559,559,departure,2,3,0,idle
560,560,departure,2,1,0,working
561,561,departure,0,2,0,idle
562,562,arrival,4,8,0,working
563,563,departure,0,5,0,idle
564,564,arrival,3,0,1,working
565,565,arrival,4,0,0,idle
566,566,arrival,2,8,0,working
567,567,departure,2,7,0,working
568,568,departure,4,5,0,working
569,569,arrival,4,5,1,working
570,570,arrival,4,3,1,idle
571,571,departure,1,0,0,working
572,572,departure,1,3,1,idle
573,573,departure,0,8,0,working
574,574,arrival,3,0,1,idle
575,575,departure,3,8,0,idle
576,576,arrival,3,7,1,working
577,577,arrival,2,0,1,working
578,578,departure,3,2,0,idle
579,579,arrival,0,0,0,working
580,580,departure,1,3,1,working
581,581,arrival,3,6,0,idle
582,582,arrival,3,6,0,idle
583,583,departure,1,4,1,working
584,584,arrival,4,0,1,idle
585,585,departure,0,3,1,working
586,586,departure,2,3,1,idle
587,587,departure,1,7,0,idle
588,588,departure,4,6,1,idle
589,589,arrival,0,9,0,idle
590,590,departure,3,7,1,working
591,591,departure,1,3,0,working
592,592,departure,3,4,0,idle
593,593,departure,4,9,1,idle
594,594,departure,2,4,1,working
595,595,departure,4,4,1,working
596,596,departure,0,7,1,idle
597,597,departure,4,9,1,working
598,598,departure,2,5,0,idle
599,599,departure,0,3,1,idle
600,600,arrival,4,2,0,working
601,601,departure,1,1,1,idle
602,602,arrival,3,4,0,working
603,603,arrival,1,5,0,working
604,604,arrival,0,8,0,idle
605,605,departure,1,9,0,idle
606,606,departure,3,3,1,working
607,607,departure,4,3,1,working
608,608,arrival,4,9,0,idle
609,609,departure,4,7,1,working
610,610,departure,2,6,1,idle
611,611,arrival,4,8,1,working
612,612,departure,3,7,0,idle
613,613,arrival,0,0,0,working
614,614,arrival,0,1,1,working
615,615,departure,2,7,0,working
616,616,arrival,2,3,1,working
617,617,arrival,1,3,0,working
618,618,departure,4,0,0,idle
619,619,departure,1,5,0,idle
620,620,departure,3,3,1,idle
621,621,arrival,4,6,0,working
622,622,arrival,0,3,0,idle
623,623,arrival,3,8,1,idle
624,624,departure,4,6,1,working
625,625,departure,1,8,0,working
626,626,arrival,0,6,1,idle
627,627,arrival,0,6,0,working
628,628,departure,2,9,0,working
629,629,departure,1,0,0,idle
630,630,arrival,4,4,0,idle
631,631,departure,1,1,0,working
632,632,arrival,4,3,1,working
633,633,departure,1,7,1,idle
634,634,arrival,2,1,0,working
635,635,arrival,4,0,1,working
636,636,arrival,4,4,0,idle
637,637,arrival,1,2,0,idle
638,638,departure,4,4,0,idle
639,639,arrival,0,0,1,idle
640,640,arrival,1,3,1,idle
641,641,arrival,0,1,1,working
642,642,departure,4,1,0,working
643,643,arrival,4,8,1,idle
644,644,departure,0,2,0,idle
645,645,arrival,2,2,1,working
646,646,departure,0,5,0,idle
647,647,arrival,3,9,0,working
648,648,departure,1,5,0,idle
649,649,departure,1,8,1,idle
650,650,departure,1,2,1,working
651,651,departure,0,7,1,working
652,652,arrival,0,6,1,working
653,653,departure,0,1,0,working
654,654,departure,3,0,0,idle
655,655,arrival,3,9,0,idle
656,656,arrival,3,4,1,idle
657,657,departure,0,1,0,idle
658,658,arrival,2,7,1,idle
659,659,arrival,3,7,0,working
660,660,arrival,1,6,0,idle
661,661,departure,4,6,1,idle
662,662,departure,1,8,1,working
663,663,arrival,3,4,0,idle
664,664,arrival,1,9,1,working
665,665,arrival,3,3,0,working
666,666,departure,3,3,1,idle
667,667,arrival,3,1,0,working
668,668,arrival,3,6,1,idle
669,669,arrival,0,1,1,working
670,670,arrival,2,6,1,working
671,671,departure,3,6,0,working
672,672,departure,1,8,0,idle
673,673,departure,1,7,0,working
674,674,departure,2,4,0,idle
675,675,departure,1,8,0,idle
676,676,arrival,4,7,1,idle
677,677,departure,2,9,0,working
678,678,arrival,2,8,0,idle
679,679,departure,4,2,0,working
680,680,departure,3,9,0,working
681,681,departure,2,1,0,idle
682,682,departure,2,8,1,working
683,683,arrival,1,2,1,working
684,684,departure,0,2,0,idle
685,685,departure,1,6,0,working
686,686,arrival,0,6,0,idle
687,687,arrival,3,6,1,working
688,688,departure,1,5,0,working
689,689,arrival,0,8,0,idle
690,690,arrival,2,0,1,working
691,691,departure,2,0,0,working
692,692,departure,0,6,1,working
693,693,arrival,0,2,1,idle
694,694,arrival,2,8,0,working
695,695,arrival,2,1,0,working
696,696,arrival,0,6,1,working
697,697,departure,1,1,1,working
698,698,departure,0,2,1,idle
699,699,departure,4,4,0,working
700,700,arrival,1,7,1,idle
701,701,arrival,2,1,0,idle
702,702,arrival,0,2,0,working
703,703,departure,0,6,1,working
704,704,departure,0,9,0,working
705,705,arrival,0,8,0,idle
706,706,arrival,2,8,1,working
707,707,departure,2,5,0,working
708,708,arrival,3,2,0,working
709,709,departure,4,6,1,idle
710,710,departure,1,0,1,idle
711,711,departure,3,8,0,idle
712,712,arrival,4,1,1,working
713,713,departure,2,5,1,working
714,714,departure,0,4,1,idle
715,715,arrival,3,1,0,idle
716,716,arrival,3,5,0,idle
717,717,departure,0,9,0,idle
718,718,departure,4,6,1,idle
719,719,arrival,1,8,1,working
720,720,arrival,1,8,1,idle
721,721,departure,3,5,1,working
722,722,arrival,1,3,0,working
723,723,arrival,3,4,1,working
724,724,departure,3,1,0,working
725,725,arrival,4,5,1,working
726,726,departure,4,1,1,idle
727,727,arrival,2,2,0,idle
728,728,arrival,4,0,1,idle
729,729,departure,0,1,1,working
730,730,departure,3,3,0,idle
731,731,departure,2,2,1,idle
732,732,arrival,4,1,1,idle
733,733,arrival,2,8,1,working
734,734,arrival,3,3,0,working
735,735,arrival,0,8,0,idle
736,736,departure,2,9,1,idle
737,737,departure,1,2,0,working
738,738,arrival,3,5,1,working
739,739,departure,1,1,1,idle
740,740,arrival,1,1,0,idle
741,741,departure,3,5,0,idle
742,742,arrival,3,8,0,idle
743,743,arrival,3,6,1,working
744,744,departure,4,0,0,working
745,745,departure,3,2,0,working
746,746,departure,3,7,0,working
747,747,arrival,0,1,1,idle
748,748,arrival,1,3,0,working
749,749,arrival,1,8,1,idle
750,750,arrival,3,9,0,idle
751,751,arrival,4,0,1,working
752,752,arrival,3,7,1,idle
753,753,arrival,2,5,1,idle
754,754,departure,1,4,0,working
755,755,arrival,4,1,0,working
756,756,departure,2,5,1,working
757,757,departure,3,5,1,idle
758,758,departure,4,7,0,idle
759,759,departure,0,4,1,idle
760,760,arrival,4,6,0,working
761,761,arrival,1,8,0,working
762,762,arrival,4,3,0,working
763,763,departure,2,4,1,working
764,764,arrival,3,1,0,idle
765,765,departure,1,9,1,working
766,766,arrival,3,0,0,idle
767,767,departure,1,7,0,working
768,768,arrival,0,6,1,idle
769,769,arrival,4,6,0,idle
770,770,arrival,3,9,1,idle
771,771,arrival,2,3,1,idle
772,772,arrival,4,0,1,working
773,773,arrival,4,4,1,idle
774,774,arrival,1,0,0,idle
775,775,departure,1,7,1,idle
776,776,departure,1,0,1,idle
777,777,departure,3,2,0,idle
778,778,departure,3,3,0,idle
779,779,departure,3,5,1,working
780,780,arrival,4,3,1,working
781,781,arrival,1,9,1,idle
782,782,departure,0,9,0,idle
783,783,departure,2,6,0,working
784,784,departure,0,2,1,idle
785,785,arrival,4,3,1,working
786,786,arrival,0,1,1,idle
787,787,departure,1,6,0,idle
788,788,departure,3,6,0,idle
789,789,arrival,2,9,1,working
790,790,departure,0,5,0,working
791,791,departure,1,5,0,working
792,792,arrival,0,6,1,idle
793,793,departure,4,8,1,idle
794,794,departure,1,7,0,idle
795,795,arrival,3,3,0,idle
796,796,departure,1,5,0,idle
797,797,departure,1,6,1,working
798,798,arrival,2,9,1,working
799,799,arrival,0,2,0,idle
800,800,departure,1,9,0,working
801,801,departure,0,2,1,idle
802,802,departure,4,8,0,idle
803,803,departure,1,7,1,working
804,804,arrival,3,2,0,idle
805,805,departure,4,2,0,idle
806,806,arrival,0,4,0,idle
807,807,arrival,2,8,1,working
808,808,departure,4,0,1,idle
809,809,arrival,3,1,1,idle
810,810,departure,4,6,1,idle
811,811,arrival,1,7,1,idle
812,812,arrival,2,3,1,working
813,813,departure,3,0,1,idle
814,814,departure,0,8,1,working
815,815,arrival,4,2,0,idle
816,816,arrival,1,4,1,working
817,817,departure,3,1,0,working
818,818,arrival,1,3,1,working
819,819,arrival,1,1,1,idle
820,820,arrival,3,4,0,idle
821,821,departure,2,7,0,idle
822,822,arrival,4,3,1,working
823,823,arrival,1,9,0,working
824,824,arrival,2,8,1,idle
825,825,arrival,1,2,0,working
826,826,arrival,2,1,1,working
827,827,arrival,2,9,0,working
828,828,arrival,2,9,1,working
829,829,departure,3,6,0,working
830,830,arrival,1,5,1,idle
831,831,departure,4,2,1,working
832,832,departure,0,7,0,working
833,833,departure,3,4,0,idle
834,834,arrival,3,9,0,idle
835,835,arrival,0,5,0,idle
836,836,departure,1,5,0,working
837,837,arrival,4,1,1,idle
838,838,departure,0,5,0,idle
839,839,arrival,3,3,0,working
840,840,arrival,0,5,0,working
841,841,departure,1,2,0,idle
842,842,departure,0,1,0,idle
843,843,departure,2,6,1,idle
844,844,departure,3,6,1,idle
845,845,departure,1,4,1,working
846,846,arrival,0,7,1,working
847,847,arrival,1,2,1,idle
848,848,departure,2,5,1,working
849,849,arrival,3,0,0,working
850,850,departure,1,2,1,idle
851,851,arrival,1,6,0,working
852,852,departure,0,8,1,idle
853,853,departure,0,2,1,working
854,854,arrival,3,6,1,working
855,855,departure,0,9,1,idle
856,856,departure,0,1,1,working
857,857,departure,2,1,0,working
858,858,arrival,1,8,0,working
859,859,arrival,1,9,0,working
860,860,departure,1,8,1,working
861,861,departure,0,8,1,idle
862,862,departure,4,3,1,idle
863,863,arrival,0,7,0,idle
864,864,arrival,3,5,1,idle
865,865,departure,0,9,0,working
866,866,departure,3,2,1,working
867,867,departure,4,2,1,idle
868,868,arrival,1,0,1,idle
869,869,departure,1,6,1,idle
870,870,arrival,0,5,0,idle
871,871,departure,2,2,0,idle
